invoiceno,stokawal,stokakhir,namabarang,jenisbarang,kodebarang,kuantitasbarang,month,day,year,cluster
787127,180,165,Vinillex,0,12211A,15,12,1,2022,Laris
787127,140,120,"beton 2,5 ",1,10008B,20,12,2,2022,Laris
787127,183,171,Jabesmen Gelombang Kecil (150 x 105),2,15283A,12,12,2,2022,Laris
787128,50,47,Zehn Sekop Gagang Kayu,3,10015B,3,12,2,2022,Laris
787128,28,13,BJLS 30 Lebar 60cm,4,12947A,15,12,2,2022,Laris
787128,100,60,Duri,5,66653E,40,12,2,2022,Laris
787128,42,38,Stainless Lokal Kait,6,24628A,4,12,2,2022,Laris
787128,30,25,Gator Bak Mandi Plastik Persegi Ivory 56x56x56cm,7,11231A,5,12,2,2022,Laris
787128,47,44,Pas,8,23948A,3,12,2,2022,Laris
787128,700,600,Murando Natural 1m2 = 18 bh,9,56546D,100,12,2,2022,Laris
787128,27,22,Tembok,10,12343A,5,12,2,2022,Laris
787129,300,255,Beton 6mm,11,15372A,45,12,3,2022,Laris
787129,68,48,Balok (ukuran tebal 6-8 cm dan lebar 12 -15 cm),12,12222A,20,12,3,2022,Laris
787129,200,150,"PVC RUCIKA type AW 3/4""",13,10003B,50,12,3,2022,Laris
787130,500,455,Biasa dia. 19 s/d 16 ( 5 cm ),14,10032B,45,12,3,2022,Laris
787130,5,1,Biasa,15,11111A,4,12,4,2022,Laris
787130,78,67,sarung tangan kain ,16,17381A,11,12,7,2022,Laris
787130,100,94,Gembok Besar,17,12713A,6,12,7,2022,Laris
787130,129,124,Miniroller Ace Oldfields Panjang dan Pendek,18,13820A,5,12,7,2022,Sangat Laris
787130,500,450,Keramik  Natural Intan 14.5 / m2,19,32841A,50,12,8,2022,Sangat Laris
787130,17,12,gulung besi,20,11101A,5,12,8,2022,Sangat Laris
787130,252,238,Triplek 3mm,21,13041A,14,12,8,2022,Sangat Laris
787130,114,64,Tiga Roda,22,10006B,50,12,8,2022,Sangat Laris
787130,134,130,Dextone Epoxy Adhesives,23,13221A,4,12,8,2022,Sangat Laris
787130,17,14,Zehn Cangcul,24,12214A,3,12,8,2022,Sangat Laris
787130,31,16,Pintu Unilon Standard,25,19316A,15,12,8,2022,Sangat Laris
787130,4,0,Urug,26,18393A,4,12,8,2022,Sangat Laris
787131,69,49,"Readymix Beton K500, Tanpa Pompa",27,12311A,20,12,8,2022,Sangat Laris
787131,500,435,Flange,28,38201A,65,12,8,2022,Sangat Laris
787131,183,178,"Alumunium Natural 1.3 mm t= 1,3 mm ( 3 "" )",29,64543C,5,12,8,2022,Sangat Laris
787132,50,0,Bata Merah Bakar kelas I,30,13823A,50,12,8,2022,Sangat Laris
787132,46,40,Uncle Bills Sapu Dan Pengki Set BB0168,31,12333A,6,12,8,2022,Sangat Laris
787133,180,110,Natural 8cm,32,12345A,70,12,8,2022,Sangat Laris
787133,110,60,Natural 8cm,32,12345A,50,12,8,2022,Sangat Laris
787133,48,28,Balok (ukuran tebal 6-8 cm dan lebar 12 -15 cm),12,12222A,20,12,8,2022,Laris
787133,44,39,Pas,8,23948A,5,12,8,2022,Laris
787133,178,173,"Alumunium Natural 1.3 mm t= 1,3 mm ( 3 "" )",29,64543C,5,12,8,2022,Sangat Laris
787133,38,31,Stainless Lokal Kait,6,24628A,7,12,8,2022,Laris
787133,31,29,Pintu Unilon Standard,25,19316A,2,12,8,2022,Sangat Laris
787133,255,225,Beton 6mm,11,15372A,30,12,9,2022,Laris
787133,165,160,Vinillex,0,12211A,5,12,9,2022,Laris
787133,435,385,Flange,28,38201A,50,12,9,2022,Sangat Laris
787134,124,122,Miniroller Ace Oldfields Panjang dan Pendek,18,13820A,2,12,9,2022,Sangat Laris
787134,450,420,Keramik  Natural Intan 14.5 / m2,19,32841A,30,12,9,2022,Sangat Laris
787134,14,13,Zehn Cangcul,24,12214A,1,12,9,2022,Sangat Laris
787134,25,23,Gator Bak Mandi Plastik Persegi Ivory 56x56x56cm,7,11231A,2,12,9,2022,Laris
787135,507,477,HTB dia. 19 s/d 16 ( 5 cm ),14,39403A,30,12,9,2022,Laris
787135,268,264, 2 Slaag Kuda Terbang,17,10028B,4,12,9,2022,Laris
787136,150,130,"PVC RUCIKA type AW 3/4""",13,10003B,20,12,9,2022,Laris
787136,150,135,BJLS 30 Lebar 90cm,4,10026B,15,12,9,2022,Laris
787136,50,47,Pengikat,5,66653E,3,12,9,2022,Laris
787136,5000,4000,Bata Merah Bakar kelas I,30,13823A,1000,12,9,2022,Sangat Laris
787136,238,230,Triplek 3mm,21,13041A,8,12,9,2022,Sangat Laris
787136,47,45,Zehn Sekop Gagang Kayu,3,10015B,2,12,9,2022,Laris
787136,130,128,Dextone Epoxy Adhesives,23,13221A,2,12,9,2022,Sangat Laris
787136,8,7,Liat,26,10021B,1,12,9,2022,Sangat Laris
787136,40,38,Uncle Bills Sapu Dan Pengki Set BB0168,31,12333A,2,12,9,2022,Sangat Laris
787136,30,28,rolling door,20,10004B,2,12,9,2022,Sangat Laris
787136,600,500,Murando Natural 1m2 = 18 bh,9,56546D,100,12,9,2022,Laris
787136,67,62,sarung tangan kain ,16,17381A,5,12,9,2022,Laris
787136,22,20,Tembok,10,12343A,2,12,9,2022,Laris
787136,171,166,Jabesmen Gelombang Kecil (150 x 105),2,15283A,5,12,9,2022,Laris
787136,11,9,Biasa,15,11111A,2,12,9,2022,Laris
787136,49,44,"Readymix Beton K500, Tanpa Pompa",27,12311A,5,12,9,2022,Sangat Laris
787136,93,88,seng 8,1,12221A,5,12,9,2022,Laris
787136,64,52,Tiga Roda,22,10006B,12,12,9,2022,Sangat Laris
787136,494,394,Warna 8cm,32,10022B,100,12,9,2022,Sangat Laris
787136,225,195,Beton 6mm,11,15372A,30,12,9,2022,Laris
787136,9,8,Biasa,15,11111A,1,12,9,2022,Laris
787136,38,37,Uncle Bills Sapu Dan Pengki Set BB0168,31,12333A,1,12,9,2022,Sangat Laris
787136,500,450,porselen,19,45345E,50,12,9,2022,Sangat Laris
787136,62,60,sarung tangan kain ,16,17381A,2,12,9,2022,Laris
787136,4000,3500,Bata Merah Bakar kelas I,30,13823A,500,12,9,2022,Sangat Laris
787136,135,133,BJLS 30 Lebar 90cm,4,10026B,2,12,9,2022,Laris
787136,205,195,Harmonika 2 cm ,5,34893C,10,12,9,2022,Laris
787136,10,9,Urug,15,10005B,1,12,9,2022,Laris
787136,50,47,Sirih,10,10023B,3,12,9,2022,Laris
787136,44,32,"Readymix Beton K500, Tanpa Pompa",27,12311A,12,12,9,2022,Sangat Laris
787136,492,488,Holder,20,21311C,4,12,9,2022,Sangat Laris
787136,7,5,Liat,26,10021B,2,12,9,2022,Sangat Laris
787136,477,457,HTB dia. 19 s/d 16 ( 5 cm ),14,39403A,20,12,9,2022,Laris
787136,394,244,Warna 8cm,32,10022B,150,12,9,2022,Sangat Laris
787136,396,386,Aica Aibon,23,20392C,10,12,9,2022,Sangat Laris
787136,100,95,"Tembok Sun Eui dia. 1/2""",6,10031B,5,12,9,2022,Laris
787136,88,76,papan (tebal 2-4 cm dan lebar 10-13 cm),12,10009B,12,12,9,2022,Laris
787136,29,24,Pintu Unilon Standard,25,19316A,5,12,9,2022,Sangat Laris
787136,122,119,Miniroller Ace Oldfields Panjang dan Pendek,18,13820A,3,12,9,2022,Sangat Laris
787136,22,19,Pintar Facil Roller Cat Ajaib,18,35342C,3,12,9,2022,Laris
787136,488,483,Holder,20,21311C,5,12,9,2022,Sangat Laris
787136,230,220,Triplek 3mm,21,13041A,10,12,9,2022,Sangat Laris
787136,160,157,Vinillex,0,12211A,3,12,9,2022,Laris
787136,29,28,Inggris 6 Inch,8,10029B,1,12,9,2022,Laris
787136,88,83,seng 8,1,12221A,5,12,9,2022,Laris
787136,166,162,Jabesmen Gelombang Kecil (150 x 105),2,15283A,4,12,9,2022,Laris
787136,50,48,Tembaga,5,45678G,2,12,9,2022,Laris
787136,275,255,Eye Bolt,28,10033B,20,12,9,2022,Sangat Laris
787136,130,100,"PVC RUCIKA type AW 3/4""",13,10003B,30,12,9,2022,Laris
787136,128,123,Dextone Epoxy Adhesives,23,13221A,5,12,9,2022,Sangat Laris
787136,195,155,Beton 6mm,11,15372A,40,12,9,2022,Laris
787137,52,47,Tiga Roda,22,10006B,5,12,10,2022,Sangat Laris
787137,45,44,Zehn Sekop Gagang Kayu,3,10015B,1,12,10,2022,Laris
787137,32,27,"Readymix Beton K500, Tanpa Pompa",27,12311A,5,12,10,2022,Sangat Laris
787137,376,356,Triplek 6mm,21,87654C,20,12,10,2022,Sangat Laris
787137,10,9,Urug,26,18393A,1,12,10,2022,Sangat Laris
787137,162,157,Jabesmen Gelombang Kecil (150 x 105),2,15283A,5,12,10,2022,Laris
787137,30,28,"Alumunium Natural 1.3 mm t= 1,3 mm ( 4 "" )",29,37483A,2,12,10,2022,Sangat Laris
787137,3500,2000,Bata Merah Bakar kelas I,30,13823A,1500,12,10,2022,Sangat Laris
787137,47,42,Sirih,10,10023B,5,12,10,2022,Laris
787137,264,249, 2 Slaag Kuda Terbang,17,10028B,15,12,10,2022,Laris
787137,133,128,BJLS 30 Lebar 90cm,4,10026B,5,12,10,2022,Laris
787137,50,40,Reng (2 X3),12,67654C,10,12,10,2022,Laris
787137,23,18,Gator Bak Mandi Plastik Persegi Ivory 56x56x56cm,7,11231A,5,12,10,2022,Laris
787137,28,27,Inggris 6 Inch,8,10029B,1,12,10,2022,Laris
787137,440,390,"beton 12,5",1,23456C,50,12,10,2022,Laris
787137,500,450,Murando Natural 1m2 = 18 bh,9,56546D,50,12,10,2022,Laris
787137,18,16,Gator Bak Mandi Plastik Persegi Ivory 56x56x56cm,7,11231A,2,12,10,2022,Laris
787137,44,43,Zehn Sekop Gagang Kayu,3,10015B,1,12,10,2022,Laris
787137,28,25,"Alumunium Natural 1.3 mm t= 1,3 mm ( 4 "" )",29,37483A,3,12,10,2022,Sangat Laris
787137,60,55,sarung tangan kain ,16,17381A,5,12,10,2022,Laris
787137,47,37,Tiga Roda,22,10006B,10,12,10,2022,Sangat Laris
787137,255,225,Eye Bolt,28,10033B,30,12,10,2022,Sangat Laris
787137,200,0,Murando Glasur 1m2 = 18 bh,9,34234E,200,12,10,2022,Laris
787137,450,415,porselen,19,45345E,35,12,10,2022,Sangat Laris
787137,13,11,Zehn Cangcul,24,12214A,2,12,10,2022,Sangat Laris
787137,157,148,vinillex,0,12211A,9,12,10,2022,Laris
787137,35,32,Uncle Bills Sikat Lantai & Pengki Set BB0057,31,10024B,3,12,10,2022,Sangat Laris
787137,457,407,HTB dia. 19 s/d 16 ( 5 cm ),14,39403A,50,12,10,2022,Laris
787137,100,95,2 Slaag Ancor Asli,17,10028B,5,12,10,2022,Laris
787137,11,10,Zehn Cangcul,24,12214A,1,12,10,2022,Sangat Laris
787137,79,72,Jendela Unilon,25,10027B,7,12,10,2022,Sangat Laris
787137,95,92,"Tembok Sun Eui dia. 1/2""",6,10031B,3,12,10,2022,Laris
787137,100,80,"PVC RUCIKA type AW 1 1/4""",13,99992C,20,12,10,2022,Laris
787138,35,33,Closer Kelas Baik,20,34234E,2,12,11,2022,Sangat Laris
787138,700,600,Stud Bolt,28,10033B,100,12,11,2022,Sangat Laris
787138,150,50,marmer,19,56777G,100,12,11,2022,Sangat Laris
787138,107,102,Reng (3 X4),12,22222C,5,12,11,2022,Laris
787138,128,125,BJLS 30 Lebar 90cm,4,10026B,3,12,11,2022,Laris
787138,32,27,Uncle Bills Sikat Lantai & Pengki Set BB0057,31,10024B,5,12,11,2022,Sangat Laris
787138,600,550,Stud Bolt,28,10033B,50,12,11,2022,Sangat Laris
787138,43,41,Zehn Sekop Gagang Kayu,3,10015B,2,12,11,2022,Laris
787138,455,440,Biasa dia. 19 s/d 16 ( 5 cm ),14,10032B,15,12,11,2022,Laris
787138,102,97,Reng (3 X4),12,22222C,5,12,11,2022,Laris
787138,48,45,Tembaga,5,45678G,3,12,11,2022,Laris
787138,145,140,Fox,23,65787G,5,12,11,2022,Sangat Laris
787138,140,125,Fox,23,65787G,15,12,11,2022,Sangat Laris
787138,41,31,Zehn Sekop Gagang Kayu,3,10015B,10,12,11,2022,Laris
787138,25,21,"Alumunium Natural 1.3 mm t= 1,3 mm ( 4 "" )",29,37483A,4,12,11,2022,Sangat Laris
787139,42,39,Sirih,10,10023B,3,12,12,2022,Laris
787139,1000,700,Murando Glasur 1m2 = 18 bh,9,34234E,300,12,12,2022,Laris
787139,37,34,Uncle Bills Sapu Dan Pengki Set BB0168,31,12333A,3,12,14,2022,Sangat Laris
787139,72,67,Jendela Unilon,25,10027B,5,12,14,2022,Sangat Laris
787139,37,22,Tiga Roda,22,10006B,15,12,14,2022,Sangat Laris
787139,94,90,Gembok Besar,17,12713A,4,12,14,2022,Laris
787139,19,17,Pintar Facil Roller Cat Ajaib,18,35342C,2,12,14,2022,Laris
787140,390,375,"beton 12,5",1,23456C,15,12,14,2022,Laris
787140,17,16,Pintar Facil Roller Cat Ajaib,18,35342C,1,12,14,2022,Laris
787140,375,350,"beton 12,5",1,23456C,25,12,16,2022,Laris
787140,24,20,Catylac,0,10007B,4,12,16,2022,Laris
787140,47,45,Besi Gagang,24,32409C,2,12,16,2022,Sangat Laris
787140,155,125,Beton 6mm,11,15372A,30,12,16,2022,Laris
787140,50,46,Kombinasi,8,10029B,4,12,17,2022,Laris
787140,420,375,Keramik  Natural Intan 14.5 / m2,9,32841A,45,12,17,2022,Laris
787141,9,7,Urug,26,18393A,2,12,17,2022,Sangat Laris
787141,80,70,"PVC RUCIKA type AW 1 1/4""",13,99992C,10,12,17,2022,Laris
787141,92,82,"Tembok Sun Eui dia. 1/2""",6,10031B,10,12,17,2022,Laris
787142,90,84,Gembok Besar,17,12713A,6,12,18,2022,Laris
787142,9,7,Urug,15,10005B,2,12,18,2022,Laris
787142,196,166,Ringan,30,10017B,30,12,18,2022,Sangat Laris
787142,200,155,Beton 8mm,11,10018B,45,12,18,2022,Laris
787142,262,247,Gresik,22,12111A,15,12,18,2022,Sangat Laris
787142,21,18,"Alumunium Natural 1.3 mm t= 1,3 mm ( 4 "" )",29,37483A,3,12,18,2022,Sangat Laris
787142,27,22,Jabesmen Gelombang Kecil (300 x 105),2,45555D,5,12,18,2022,Laris
787142,39,34,Sirih,10,10023B,5,12,18,2022,Laris
787142,80,65,"Tembok ITAP dia. 1/2""",6,10031B,15,12,18,2022,Laris
787142,410,310,Natural 6cm,32,56543C,100,12,18,2022,Sangat Laris
787142,284,274,Patrun,25,10027B,10,12,18,2022,Sangat Laris
787142,88,78,Bronjong 4 mm,5,45678G,10,12,18,2022,Laris
787142,125,105,Beton 6mm,11,15372A,20,12,18,2022,Laris
787142,250,100,biasa (30 X 15) cm,19,10002B,150,12,18,2022,Sangat Laris
787142,93,78,"Readymix Beton K400, Tanpa Pompa",27,10010B,15,12,18,2022,Sangat Laris
787142,310,260,Natural 6cm,32,56543C,50,12,18,2022,Sangat Laris
787142,27,25,Inggris 6 Inch,8,10029B,2,12,18,2022,Laris
787142,440,410,Biasa dia. 19 s/d 16 ( 5 cm ),14,10032B,30,12,18,2022,Laris
787142,7,5,Urug,26,18393A,2,12,18,2022,Sangat Laris
787142,100,70,Kali,30,24545C,30,12,18,2022,Sangat Laris
787142,50,40,Gator Bak Mandi Plastik Persegi Putih 56x56x56cm,7,149944C,10,12,18,2022,Laris
787142,160,150,Metrolite,0,56432C,10,12,18,2022,Laris
787142,55,53,sarung tangan kain ,16,17381A,2,12,18,2022,Laris
787142,33,28,Closer Kelas Baik,20,34234E,5,12,18,2022,Sangat Laris
787143,40,36,Gator Bak Mandi Plastik Persegi Putih 56x56x56cm,7,149944C,4,12,18,2022,Laris
787143,78,73,"Readymix Beton K400, Tanpa Pompa",27,10010B,5,12,19,2022,Sangat Laris
787143,45,43,Besi Gagang,24,32409C,2,12,19,2022,Sangat Laris
787143,8,7,Biasa,15,11111A,1,12,20,2022,Laris
787143,7,5,Biasa,15,11111A,2,12,20,2022,Laris
787143,125,120,BJLS 30 Lebar 90cm,4,10026B,5,12,20,2022,Laris
787143,50,45,Jabesmen Gelombang Kecil (270 x 105),2,94710C,5,12,20,2022,Laris
787143,53,52,sarung tangan kain ,16,17381A,1,12,20,2022,Laris
787143,356,351,Triplek 6mm,21,87654C,5,12,20,2022,Sangat Laris
787143,60,40,Natural 8cm,32,12345A,20,12,20,2022,Sangat Laris
787143,100,70,"PVC RUCIKA type AW 1""",13,24324C,30,12,20,2022,Laris
787143,351,345,Triplek 6mm,21,87654C,6,12,20,2022,Sangat Laris
787143,450,300,Murando Natural 1m2 = 18 bh,9,56546D,150,12,20,2022,Laris
787143,36,32,Gator Bak Mandi Plastik Persegi Putih 56x56x56cm,7,149944C,4,12,20,2022,Laris
787143,150,138,Metrolite,0,56432C,12,12,20,2022,Laris
787143,52,46,sarung tangan kain ,16,17381A,6,12,20,2022,Laris
787143,28,26,Closer Kelas Baik,20,34234E,2,12,20,2022,Sangat Laris
787143,32,29,Gator Bak Mandi Plastik Persegi Putih 56x56x56cm,7,149944C,3,12,20,2022,Laris
787143,73,69,"Readymix Beton K400, Tanpa Pompa",27,10010B,4,12,20,2022,Sangat Laris
787143,43,38,Besi Gagang,24,32409C,5,12,20,2022,Sangat Laris
787143,5,3,Biasa,15,11111A,2,12,20,2022,Laris
787143,148,142,Vinillex,0,12211A,6,12,20,2022,Laris
787143,120,88,"beton 2,5 ",1,10008B,32,12,20,2022,Laris
787143,157,154,Jabesmen Gelombang Kecil (150 x 105),2,15283A,3,12,20,2022,Laris
787143,31,25,Zehn Sekop Gagang Kayu,3,10015B,6,12,20,2022,Laris
787143,13,5,BJLS 30 Lebar 60cm,4,12947A,8,12,20,2022,Laris
787143,60,53,Duri,5,66653E,7,12,20,2022,Laris
787143,31,26,Stainless Lokal Kait,6,24628A,5,12,20,2022,Laris
787143,16,13,Gator Bak Mandi Plastik Persegi Ivory 56x56x56cm,7,11231A,3,12,20,2022,Laris
787143,39,35,Pas,8,23948A,4,12,20,2022,Laris
787143,300,294,Murando Natural 1m2 = 18 bh,9,56546D,6,12,20,2022,Laris
787143,65,58,Tembok,10,12343A,7,12,20,2022,Laris
787143,105,97,Beton 6mm,11,15372A,8,12,20,2022,Laris
787144,28,23,Balok (ukuran tebal 6-8 cm dan lebar 12 -15 cm),12,12222A,5,12,21,2022,Laris
787144,100,96,"PVC RUCIKA type AW 3/4""",13,10003B,4,12,21,2022,Laris
787144,3,1,Biasa dia. 19 s/d 16 ( 5 cm ),14,10032B,2,12,21,2022,Laris
787144,1,0,Biasa,15,11111A,1,12,21,2022,Laris
787144,30,24,Kasa 1 x 1 ( Putih ),33,12321A,6,12,21,2022,Sangat Laris
787144,35,31,"RUCIKA type AW 1/2""",34,11001A,4,12,21,2022,Sangat Laris
787144,407,402,HTB dia. 19 s/d 16 ( 5 cm ),35,39403A,5,12,21,2022,Sangat Laris
787144,350,344,"beton 12,5",1,23456C,6,12,21,2022,Laris
787144,20,13,Catylac,0,10007B,7,12,21,2022,Laris
787144,38,30,Besi Gagang,24,32409C,8,12,21,2022,Sangat Laris
787144,97,92,Beton 6mm,11,15372A,5,12,21,2022,Laris
787144,46,34,Kombinasi,8,10029B,12,12,21,2022,Laris
787144,60,45,Keramik Natural Intan 14.5 / m2,9,32841A,15,12,21,2022,Laris
787144,5,1,Urug,26,18393A,4,12,21,2022,Sangat Laris
787144,70,56,"PVC RUCIKA type AW 1 1/4""",13,99992C,14,12,21,2022,Laris
787144,58,46,"Tembok Sun Eui dia. 1/2""",6,10031B,12,12,21,2022,Laris
787144,84,67,Gembok Besar,17,12713A,17,12,21,2022,Laris
787144,1,0,Urug,15,10005B,1,12,21,2022,Laris
787145,166,157,Ringan,30,10017B,9,12,22,2022,Sangat Laris
787146,155,145,Beton 8mm,11,10018B,10,12,22,2022,Laris
787146,247,236,Gresik,22,12111A,11,12,22,2022,Sangat Laris
787146,18,6,"Alumunium Natural 1.3 mm t= 1,3 mm ( 4 "" )",29,37483A,12,12,22,2022,Sangat Laris
787146,1000,979,Biasa,15,11111A,21,12,22,2022,Laris
787146,236,224,Gresik,22,12111A,12,12,22,2022,Sangat Laris
787146,142,139,Vinillex,0,12211A,3,12,22,2022,Laris
787146,83,73,seng 8,1,12221A,10,12,22,2022,Laris
787146,23,3,Balok (ukuran tebal 6-8 cm dan lebar 12 -15 cm),12,12222A,20,12,22,2022,Laris
787146,27,15,"Readymix Beton K500, Tanpa Pompa",27,12311A,12,12,22,2022,Sangat Laris
787146,24,14,Kasa 1 x 1 ( Putih ),5,12321A,10,12,22,2022,Laris
787146,123,111,Dextone Epoxy Adhesives,23,13221A,12,12,22,2022,Sangat Laris
787146,10,7,Zehn Cangcul,24,12214A,3,12,22,2022,Sangat Laris
787146,46,31,sarung tangan kain ,16,17381A,15,12,22,2022,Laris
787146,40,28,Zehn Sekop Gagang Besi,3,19302A,12,12,22,2022,Laris
787146,119,105,Miniroller Ace Oldfields Panjang dan Pendek,18,13820A,14,12,22,2022,Sangat Laris
787146,2000,1975,Bata Merah Bakar kelas I,30,13823A,25,12,22,2022,Sangat Laris
787146,92,80,Beton 6mm,11,15372A,12,12,22,2022,Laris
787146,154,139,Jabesmen Gelombang Kecil (150 x 105),2,15283A,15,12,22,2022,Laris
787146,139,135,Vinillex,0,12211A,4,12,22,2022,Laris
787146,88,74,"beton 2,5 ",1,10008B,14,12,22,2022,Laris
787146,139,135,Jabesmen Gelombang Kecil (150 x 105),2,15283A,4,12,22,2022,Laris
787146,25,13,Zehn Sekop Gagang Kayu,3,10015B,12,12,22,2022,Laris
