invoiceno,stokawal,stokakhir,namabarang,jenisbarang,kodebarang,kuantitasbarang,month,day,year,cluster
787146,5,3,BJLS 30 Lebar 60cm,4,12947A,2,12,22,2022,Laris
787146,53,48,Duri,5,66653E,5,12,22,2022,Laris
787147,26,20,Stainless Lokal Kait,6,24628A,6,12,27,2022,Laris
787147,13,5,Gator Bak Mandi Plastik Persegi Ivory 56x56x56cm,7,11231A,8,12,27,2022,Laris
787147,35,26,Pas,8,23948A,9,12,27,2022,Laris
787147,294,291,Murando Natural 1m2 = 18 bh,9,56546D,3,12,27,2022,Laris
787147,46,42,Tembok,10,12343A,4,12,27,2022,Laris
787147,80,75,Beton 6mm,11,15372A,5,12,27,2022,Laris
787147,3,1,Balok (ukuran tebal 6-8 cm dan lebar 12 -15 cm),12,12222A,2,12,27,2022,Laris
787147,96,89,"PVC RUCIKA type AW 3/4""",13,10003B,7,12,27,2022,Laris
787147,1,0,Biasa dia. 19 s/d 16 ( 5 cm ),14,10032B,1,12,27,2022,Laris
787147,937,933,Biasa,15,11111A,4,12,27,2022,Laris
787147,31,26,sarung tangan kain ,16,17381A,5,12,27,2022,Laris
787147,67,64,Gembok Besar,17,12713A,3,12,27,2022,Laris
787147,105,98,Miniroller Ace Oldfields Panjang dan Pendek,18,13820A,7,12,27,2022,Sangat Laris
787148,375,367,Keramik  Natural Intan 14.5 / m2,19,32841A,8,12,29,2022,Sangat Laris
787148,12,3,gulung besi,20,11101A,9,12,29,2022,Sangat Laris
787148,220,216,Triplek 3mm,21,13041A,4,12,29,2022,Sangat Laris
787148,22,16,Tiga Roda,22,10006B,6,12,29,2022,Sangat Laris
787148,111,103,Dextone Epoxy Adhesives,23,13221A,8,12,29,2022,Sangat Laris
787148,7,5,Zehn Cangcul,24,12214A,2,12,29,2022,Sangat Laris
787148,100,88,biasa (30 X 15) cm,19,10002B,12,12,29,2022,Sangat Laris
787148,224,223,Gresik,36,12111A,1,12,29,2022,Sangat Laris
787148,216,213,Triplek 3mm,37,13041A,3,12,29,2022,Sangat Laris
787148,135,121,Jabesmen Gelombang Kecil (150 x 105),38,15283A,14,12,29,2022,Sangat Laris
787148,64,59,Gembok Besar,17,12713A,5,12,29,2022,Laris
787148,26,20,sarung tangan kain ,39,17381A,6,12,29,2022,Sangat Laris
787148,56,48,Gembok Besar,17,12713A,8,12,29,2022,Laris
787148,40,33,Natural 8cm,40,12345A,7,12,29,2022,Sangat Laris
787148,2,1,gulung besi,41,11101A,1,12,29,2022,Tidak Laris
787148,10,6,Granit,19,28391C,4,12,29,2022,Sangat Laris
787148,135,131,Vinillex,42,12211A,4,12,29,2022,Tidak Laris
787148,98,95,Miniroller Ace Oldfields Panjang dan Pendek,43,13820A,3,12,29,2022,Tidak Laris
787148,3,1,BJLS 30 Lebar 60cm,44,12947A,2,12,29,2022,Tidak Laris
787148,24,11,Pintu Unilon Standard,45,19316A,13,12,29,2022,Tidak Laris
787148,249,235, 2 Slaag Kuda Terbang,46,10028B,14,12,29,2022,Tidak Laris
787148,550,536,Stud Bolt,47,10033B,14,12,29,2022,Tidak Laris
787148,131,114,Vinillex,42,12211A,17,12,29,2022,Tidak Laris
787148,95,70,Miniroller Ace Oldfields Panjang dan Pendek,43,13820A,25,12,29,2022,Tidak Laris
787148,402,378,HTB dia. 19 s/d 16 ( 5 cm ),35,39403A,24,12,29,2022,Sangat Laris
787148,5,2,Zehn Cangcul,48,12214A,3,12,29,2022,Tidak Laris
787148,14,10,Kasa 1 x 1 ( Putih ),33,12321A,4,12,29,2022,Sangat Laris
787148,31,1,"RUCIKA type AW 1/2""",34,11001A,30,12,29,2022,Sangat Laris
787149,378,370,HTB dia. 19 s/d 16 ( 5 cm ),35,39403A,8,12,30,2022,Sangat Laris
787149,20,11,Stainless Lokal Kait,49,24628A,9,12,30,2022,Tidak Laris
787149,103,93,Dextone Epoxy Adhesives,50,13221A,10,12,30,2022,Tidak Laris
787149,15,6,"Readymix Beton K500, Tanpa Pompa",51,12311A,9,12,30,2022,Tidak Laris
787149,10,6,Kasa 1 x 1 ( Putih ),33,12321A,4,12,30,2022,Sangat Laris
787149,28,24,Zehn Sekop Gagang Besi,52,19302A,4,12,30,2022,Tidak Laris
787149,24,20,Zehn Sekop Gagang Besi,52,19302A,4,12,30,2022,Tidak Laris
787149,378,368,HTB dia. 19 s/d 16 ( 5 cm ),35,39403A,10,12,30,2022,Sangat Laris
787149,368,358,HTB dia. 19 s/d 16 ( 5 cm ),35,39403A,10,12,30,2022,Sangat Laris
787149,2,0,Zehn Cangcul,48,12214A,2,12,30,2022,Tidak Laris
787149,6,1,Kasa 1 x 1 ( Putih ),33,12321A,5,12,30,2022,Sangat Laris
787149,1,0,"RUCIKA type AW 1/2""",34,11001A,1,12,30,2022,Sangat Laris
787149,358,348,HTB dia. 19 s/d 16 ( 5 cm ),35,39403A,10,12,30,2022,Sangat Laris
787149,11,7,Stainless Lokal Kait,49,24628A,4,12,30,2022,Tidak Laris
787149,11,8,Dextone Epoxy Adhesives,50,13221A,3,12,30,2022,Tidak Laris
787149,6,1,"Readymix Beton K500, Tanpa Pompa",51,12311A,5,12,30,2022,Tidak Laris
787149,1,0,Kasa 1 x 1 ( Putih ),33,12321A,1,12,30,2022,Sangat Laris
787149,20,12,Zehn Sekop Gagang Besi,52,19302A,8,12,30,2022,Tidak Laris
787149,348,344,HTB dia. 19 s/d 16 ( 5 cm ),35,39403A,4,12,30,2022,Sangat Laris
787149,114,111,Vinillex,0,12211A,3,12,30,2022,Laris
787149,74,70,"beton 2,5 ",1,10008B,4,12,30,2022,Laris
787149,121,91,Jabesmen Gelombang Kecil (150 x 105),2,15283A,30,12,30,2022,Laris
787149,13,5,Zehn Sekop Gagang Kayu,3,10015B,8,12,30,2022,Laris
787149,21,12,BJLS 30 Lebar 60cm,4,12947A,9,12,30,2022,Laris
787149,48,38,Duri,5,66653E,10,12,30,2022,Laris
787149,7,2,Stainless Lokal Kait,6,24628A,5,12,30,2022,Laris
787149,5,1,Gator Bak Mandi Plastik Persegi Ivory 56x56x56cm,7,11231A,4,12,30,2022,Laris
787149,44,40,Pas,8,23948A,4,12,30,2022,Laris
787149,291,287,Murando Natural 1m2 = 18 bh,9,56546D,4,12,30,2022,Laris
787149,42,32,Tembok,10,12343A,10,12,30,2022,Laris
787149,75,65,Beton 6mm,11,15372A,10,12,30,2022,Laris
787149,31,29,Balok (ukuran tebal 6-8 cm dan lebar 12 -15 cm),12,12222A,2,12,30,2022,Laris
787149,89,84,"PVC RUCIKA type AW 3/4""",13,10003B,5,12,30,2022,Laris
787149,88,78,Biasa,15,11111A,10,12,30,2022,Laris
787149,20,16,sarung tangan kain ,16,17381A,4,12,30,2022,Laris
787149,48,45,Gembok Besar,17,12713A,3,12,30,2022,Laris
787149,70,65,Miniroller Ace Oldfields Panjang dan Pendek,18,13820A,5,12,30,2022,Sangat Laris
787149,367,366,Keramik  Natural Intan 14.5 / m2,19,32841A,1,12,30,2022,Sangat Laris
787149,1,0,gulung besi,20,11101A,1,12,30,2022,Sangat Laris
787149,213,209,Triplek 3mm,21,13041A,4,12,30,2022,Sangat Laris
787149,16,12,Tiga Roda,22,10006B,4,12,30,2022,Sangat Laris
787149,8,5,Dextone Epoxy Adhesives,23,13221A,3,12,30,2022,Sangat Laris
787149,11,6,Pintu Unilon Standard,25,19316A,5,12,30,2022,Sangat Laris
787149,1,0,"Readymix Beton K500, Tanpa Pompa",27,12311A,1,12,30,2022,Sangat Laris
787149,385,375,Flange,28,38201A,10,12,30,2022,Sangat Laris
787149,1975,1825,Bata Merah Bakar kelas I,30,13823A,150,12,30,2022,Sangat Laris
787149,34,30,Uncle Bills Sapu Dan Pengki Set BB0168,31,12333A,4,12,30,2022,Sangat Laris
787149,33,29,Natural 8cm,32,12345A,4,12,30,2022,Sangat Laris
787149,29,19,Natural 8cm,32,12345A,10,12,30,2022,Sangat Laris
787149,29,19,Balok (ukuran tebal 6-8 cm dan lebar 12 -15 cm),12,12222A,10,12,30,2022,Laris
787149,40,38,Pas,8,23948A,2,12,30,2022,Laris
787149,173,168,"Alumunium Natural 1.3 mm t= 1,3 mm ( 3 "" )",29,64543C,5,12,30,2022,Sangat Laris
78782,200,195,Vinillex,53,12211A,5,10,1,2022,Tidak Laris
78782,150,135,seng 8,54,12221A,15,10,1,2022,Tidak Laris
78782,100,97,"Readymix Beton K500, Tanpa Pompa",55,12311A,3,10,1,2022,Tidak Laris
78782,300,295,"PVC RUCIKA type AW 3/4""",56,10003B,5,10,1,2022,Tidak Laris
78783,200,180,"beton 2,5",54,10008B,20,10,1,2022,Tidak Laris
78783,110,108,Reng (2 X3),57,67654C,2,10,1,2022,Tidak Laris
78783,200,196,Ringan,30,10017B,4,10,1,2022,Sangat Laris
78783,200,198,Jabesmen Gelombang Kecil (150 x 105),2,15283A,2,10,1,2022,Laris
78783,200,195,Tiga Roda,22,10006B,5,10,1,2022,Sangat Laris
78783,300,295,Harmonika,25,69687C,5,10,1,2022,Sangat Laris
78783,400,350,Biasa dia. 19 s/d 16 ( 5 cm ),14,10032B,12,10,1,2022,Laris
78783,320,317,"Readymix Beton K175, Tanpa Pompa",27,53434E,3,10,1,2022,Sangat Laris
78783,180,130,"beton 2,5",54,10008B,50,10,1,2022,Tidak Laris
78783,107,97,Balok (ukuran tebal 6-8 cm dan lebar 12 -15 cm),57,12222A,10,10,1,2022,Tidak Laris
78783,350,342,HTB dia. 19 s/d 16 ( 5 cm ),14,39403A,8,10,1,2022,Laris
78783,200,190,Beton 10mm,11,46353C,10,10,1,2022,Laris
78784,10,8,Biasa,58,11111A,2,10,1,2022,Tidak Laris
78784,295,287,Harmonika,45,69687C,8,10,1,2022,Tidak Laris
78784,287,284,Harmonika,45,69687C,3,10,2,2022,Tidak Laris
78785,284,272,Harmonika,45,69687C,12,10,2,2022,Tidak Laris
78785,272,259,Harmonika,45,69687C,13,10,2,2022,Tidak Laris
78786,259,250,Harmonika,45,69687C,9,10,2,2022,Tidak Laris
78786,700,650,Natural 6cm,32,56543C,50,10,2,2022,Sangat Laris
78786,135,125,seng 8,54,12221A,10,10,2,2022,Tidak Laris
78786,97,95,Balok (ukuran tebal 6-8 cm dan lebar 12 -15 cm),57,12222A,2,10,2,2022,Tidak Laris
78786,195,193,Tiga Roda,22,10006B,2,10,2,2022,Sangat Laris
78786,650,550,Natural 6cm,32,56543C,100,10,2,2022,Sangat Laris
78787,500,470,Teraso,19,98789M,30,10,3,2022,Sangat Laris
78787,600,564,Warna 8cm,32,10022B,36,10,3,2022,Sangat Laris
78787,10,8,Teras,15,23121C,2,10,3,2022,Laris
78787,100,97,Urug,15,10005B,3,10,3,2022,Laris
78787,8,7,biasa,15,11111A,1,10,3,2022,Laris
78787,800,500,Bata Merah Bakar kelas I,30,13823A,300,10,3,2022,Sangat Laris
78787,500,470,"Alumunium Warna 1.3 mm t= 1,3 mm ( 3 "" )",29,23327C,30,10,3,2022,Sangat Laris
78787,125,105,seng 8,54,12221A,20,10,4,2022,Tidak Laris
78788,110,106,papan (tebal 2-4 cm dan lebar 10-13 cm),57,10009B,4,10,4,2022,Tidak Laris
78789,400,396,Aica Aibon,23,20392C,4,10,4,2022,Sangat Laris
78789,470,420,"Alumunium Warna 1.3 mm t= 1,3 mm ( 3 "" )",29,23327C,50,10,4,2022,Sangat Laris
78790,420,416,Triplek 6mm,21,87654C,4,10,5,2022,Sangat Laris
78791,300,285,Gembok Besar,17,12713A,15,10,5,2022,Laris
78791,500,450,Kuadrat,19,45554L,50,10,6,2022,Sangat Laris
78792,200,190,Kasa 1 x 1 ( Putih ),5,12321A,10,10,6,2022,Laris
78792,300,280,2 Slaag Kuda Terbang,17,10028B,20,10,6,2022,Laris
78792,400,320,Granit,19,28391C,80,10,6,2022,Sangat Laris
78792,200,170,Dextone Epoxy Adhesives,23,10012B,30,10,6,2022,Sangat Laris
78792,95,92,Balok (ukuran tebal 6-8 cm dan lebar 12 -15 cm),57,12222A,3,10,8,2022,Tidak Laris
78792,108,107,Reng (2 X3),12,67654C,1,10,8,2022,Laris
78792,200,195,"Alumunium Natural 1.3 mm t= 1,3 mm ( 3 "" )",29,64543C,5,10,8,2022,Sangat Laris
78793,250,240,Triplek 9mm,21,55563C,10,10,8,2022,Sangat Laris
78793,500,357,GRC,1,12326E,143,10,8,2022,Laris
78794,260,248,Kayu Presto,23,65466D,12,10,8,2022,Sangat Laris
78794,193,185,Tiga Roda,22,10006B,8,10,8,2022,Sangat Laris
78794,100,77,sarung tangan kevlar,16,57456D,23,10,8,2022,Laris
78795,185,170,Tiga Roda,22,10006B,15,10,9,2022,Sangat Laris
78795,200,199,Avian,0,55555C,1,10,9,2022,Laris
78796,170,150,Tiga Roda,22,10006B,20,10,9,2022,Sangat Laris
78796,200,196,Minyak Lukis Maries,0,45433D,4,10,9,2022,Laris
78796,150,144,Tiga Roda,22,10006B,6,10,10,2022,Sangat Laris
78796,500,440,"beton 12,5",1,23456C,60,10,10,2022,Laris
78796,196,194,Minyak Lukis Maries,0,45433D,2,10,10,2022,Laris
78796,300,284,Patrun,25,43584C,16,10,10,2022,Sangat Laris
78796,360,330,KM Bulat Kualitas Biasa,17,54353D,30,10,10,2022,Laris
78796,300,277,Busi,8,38292D,23,10,10,2022,Laris
78796,240,225,Triplek 9mm,21,55563C,15,10,10,2022,Sangat Laris
78797,144,134,Tiga Roda,22,10006B,10,10,10,2022,Sangat Laris
78797,300,280,Triplek 3mm,21,13041A,20,10,10,2022,Sangat Laris
78798,200,150,"RUCIKA type AW 1/2""",13,11001A,50,10,11,2022,Laris
78798,280,265,Warna,22,43534D,15,10,11,2022,Sangat Laris
78798,199,197,Avian,0,55555C,2,10,11,2022,Laris
78799,110,107,Reng (3 X4),12,22222C,3,10,11,2022,Laris
78799,97,96,"Readymix Beton K500, Tanpa Pompa",27,12311A,1,10,11,2022,Sangat Laris
78799,170,152,Dextone Epoxy Adhesives,23,10012B,18,10,11,2022,Sangat Laris
78880,200,193,Mini Tebal Baja,24,33233C,7,10,11,2022,Sangat Laris
78880,150,110,"RUCIKA type AW 1/2""",13,11001A,40,10,16,2022,Laris
78880,500,492,Holder,20,21311C,8,10,16,2022,Sangat Laris
78880,8,5,Teras,15,23121C,3,10,16,2022,Laris
78880,300,280,Warna,22,43534D,20,10,16,2022,Sangat Laris
78880,200,197,Metrolite,0,56432C,3,10,17,2022,Laris
78880,300,297,Gresik,22,12111A,3,10,18,2022,Sangat Laris
78880,500,445,Keramik Glasur Premium 14.5 /m2,9,76775C,55,10,19,2022,Laris
78881,240,230,"Bebek ITAP 1/2""",6,24323D,10,10,18,2022,Laris
78881,388,378,Biasa dia. 19 s/d 16 ( 5 cm ),14,10032B,10,10,18,2021,Laris
78881,420,320,"Alumunium Warna 1.3 mm t= 1,3 mm ( 3 "" )",29,23327C,100,10,19,2022,Sangat Laris
78882,92,91,Balok (ukuran tebal 6-8 cm dan lebar 12 -15 cm),12,12222A,1,10,19,2022,Laris
78882,100,93,"Readymix Beton K400, Tanpa Pompa",27,10010B,7,10,19,2022,Sangat Laris
78882,100,88,Bronjong 4 mm,5,45678G,12,10,19,2022,Laris
78882,150,145,Fox,23,54385H,5,10,19,2022,Sangat Laris
78828,50,47,Gathul Jawa Baja,24,10012B,3,10,19,2022,Sangat Laris
78828,1000,900,Bata Merah Bakar kelas I,30,13823A,100,10,19,2022,Sangat Laris
78828,100,75,Beton 6mm,11,15372A,25,10,19,2022,Laris
78828,100,93,Jabesmen Gelombang Kecil (300 x 105),2,45555D,7,10,19,2022,Laris
78828,100,92,Triplek 4mm,21,10020B,8,10,19,2022,Sangat Laris
78828,1500,1400,Warna 8cm,59,10022B,100,10,19,2022,Tidak Laris
78828,20,17,Gator Bak Mandi Plastik Persegi Ivory 56x56x56cm,60,11231A,3,10,19,2022,Tidak Laris
78828,200,196,Stainless Lokal Kait,6,24628A,4,10,19,2022,Laris
78828,50,47,Zehn Sekop Gagang Kayu,3,10015B,3,10,19,2022,Laris
78828,1000,700,Keramik Natural Intan 14.5 / m2,61,32841A,300,10,19,2022,Tidak Laris
78828,500,466,Balok (ukuran tebal 6-8 cm dan lebar 12 -15 cm),12,12222A,34,10,19,2022,Laris
78828,500,446,papan (tebal 2-4 cm dan lebar 10-13 cm),12,10009B,54,10,19,2022,Laris
78828,134,119,Tiga Roda,22,10006B,25,10,19,2022,Sangat Laris
78828,100,96,Sirih,10,10023B,4,10,19,2022,Laris
78828,100,84,Triplek 3mm,21,13041A,16,10,19,2022,Sangat Laris
78828,100,93,Liat,26,10021B,7,10,19,2022,Sangat Laris
78828,1000,995,Uncle Bills Sapu Dan Pengki Set BB0168,31,12333A,5,10,19,2022,Sangat Laris
78828,500,447,gulung besi,20,11101A,3,10,19,2022,Sangat Laris
78828,195,178,Vinillex,0,12211A,7,10,19,2022,Laris
78828,47,42,Zehn Sekop Gagang Kayu,3,10015B,5,10,19,2022,Laris
78828,300,297,Miniroller Ace Oldfields Panjang dan Pendek,18,13820A,3,10,19,2022,Sangat Laris
78828,190,185,Beton 10mm,62,46353C,5,10,19,2022,Tidak Laris
78828,195,189,"Alumunium Natural 1.3 mm t= 1,3 mm ( 3 "" )",29,64543C,6,10,19,2022,Sangat Laris
78828,100,96,"Tembok ITAP dia. 1/2""",49,234544C,4,10,19,2022,Tidak Laris
78828,300,294,Keramik Glasur Standard 14.5 /m2,9,10030B,6,10,19,2022,Laris
78828,378,375,Biasa dia. 19 s/d 16 ( 5 cm ),14,10032B,3,10,19,2022,Laris
78828,197,196,Avian,0,55555C,1,10,19,2022,Laris
78828,200,132,Las Listrik,5,67676C,68,10,19,2022,Laris
78828,75,30,Beton 6mm,11,15372A,45,10,19,2022,Laris
78882,193,191,Mini Tebal Baja,24,33233C,2,10,20,2022,Sangat Laris
78882,200,175,biasa (30 - 80 cm^2),19,10001A,25,10,20,2022,Sangat Laris
78882,97,95,Urug,15,10005B,2,10,20,2022,Laris
78883,297,292,Gresik,22,12111A,5,10,20,2022,Sangat Laris
78883,197,185,Metrolite,0,56432C,12,10,20,2022,Laris
78884,105,103,Seng 8,1,12221A,2,10,20,2022,Laris
78884,375,355,Biasa dia. 19 s/d 16 ( 5 cm ),14,10032B,20,10,20,2022,Laris
78884,150,110,Flange,28,38201A,40,10,20,2022,Sangat Laris
78884,320,270,"Alumunium Warna 1.3 mm t= 1,3 mm ( 3 "" )",29,23327C,50,10,20,2022,Sangat Laris
78885,416,376,Triplek 6mm,21,87654C,40,10,20,2022,Sangat Laris
78886,550,470,Natural 6cm,32,56543C,80,10,20,2022,Sangat Laris
78886,342,312,HTB dia. 19 s/d 16 ( 5 cm ),14,39403A,30,10,20,2022,Laris
78886,297,284,Miniroller Ace Oldfields Panjang dan Pendek,18,13820A,13,10,20,2022,Sangat Laris
78886,284,277,Miniroller Ace Oldfields Panjang dan Pendek,18,13820A,7,10,20,2022,Sangat Laris
78886,312,300,HTB dia. 19 s/d 16 ( 5 cm ),14,39403A,12,10,20,2022,Laris
78886,470,450,Natural 6cm,32,56543C,20,10,20,2022,Sangat Laris
78886,95,93,Urug,15,10005B,2,10,20,2022,Laris
78887,103,100,Seng 8,1,12221A,3,10,20,2022,Laris
78887,88,60,Brojong 4 mm,5,45678G,28,10,20,2022,Laris
78887,292,20,Gresik,22,12111A,272,10,20,2022,Sangat Laris
78887,191,189,Mini Tebal Baja,24,33233C,2,10,20,2022,Sangat Laris
78888,178,176,Vinillex,0,12211A,2,10,21,2022,Laris
78888,130,96,"beton 2,5",1,10008B,34,10,21,2022,Laris
78888,198,195,Jabesmen Gelombang Kecil (150 x 105),2,15283A,3,10,21,2022,Laris
78888,42,39,Zehn Sekop Gagang Kayu,3,10015B,3,10,21,2022,Laris
78888,150,146,Pas,8,23948A,4,10,21,2022,Laris
78888,100,93,Murando Natural 1m2 = 18 bh,9,56546D,7,10,21,2022,Laris
78888,96,90,Tembok,10,12343A,6,10,21,2022,Laris
78888,30,23,Beton 6mm,11,15372A,7,10,21,2022,Laris
78888,466,462,Balok (ukuran tebal 6-8 cm dan lebar 12 -15 cm),12,12222A,4,10,21,2022,Laris
78888,100,97,Besi Gagang,24,32409C,3,10,21,2022,Sangat Laris
78888,7,2,Biasa,15,11111A,5,10,21,2022,Laris
78888,150,144,BJLS 30 Lebar 90cm,4,10026B,6,10,21,2022,Laris
78888,100,95,Jabesmen Gelombang Kecil (270 x 105),2,94710C,5,10,21,2022,Laris
78888,150,144,sarung tangan kain,16,17381A,6,10,21,2022,Laris
78888,450,446,Natural 6cm,32,56543C,4,10,21,2022,Sangat Laris
78888,355,347,Biasa dia. 19 s/d 16 ( 5 cm ),14,10032B,8,10,21,2022,Laris
78888,93,89,Urug,26,18393A,4,10,21,2022,Sangat Laris
78888,185,180,Metrolite,0,56432C,5,10,21,2022,Laris
78888,150,146,Zehn Cangcul,24,12214A,4,10,21,2022,Sangat Laris
78888,50,42,Pintu Unilon Standard,25,19316A,8,10,21,2022,Sangat Laris
78888,96,92,"Readymix Beton K500, Tanpa Pompa",27,12311A,4,10,21,2022,Sangat Laris
78888,110,104,Flange,28,38201A,6,10,21,2022,Sangat Laris
78888,189,184,"Alumunium Natural 1.3 mm t= 1,3 mm ( 3 "" )",29,64543C,5,10,21,2022,Sangat Laris
78888,900,893,Bata Merah Bakar kelas I,30,13823A,7,10,21,2022,Sangat Laris
78888,995,99,Uncle Bills Sapu Dan Pengki Set BB0168,31,12333A,4,10,21,2022,Sangat Laris
78888,3000,2994,Natural 8cm,32,12345A,6,10,21,2022,Sangat Laris
78888,196,192,Stainless Lokal Kait,6,24628A,4,10,21,2022,Laris
78888,176,170,Vinillex,53,12211A,6,10,21,2022,Tidak Laris
78888,100,95,seng 8,54,12221A,5,10,21,2022,Tidak Laris
78888,295,289,"PVC RUCIKA type AW 3/4""",56,10003B,6,10,21,2022,Tidak Laris
